Team,Span,Mat,Won,Lost,Tied,NR,W/L,Ave,RPO,Inns,HS,LS
Australia,1971-2023,972,581,348,9,34,1.669,27.68,4.73,965,481,63
India,1974-2023,1021,529,439,9,44,1.205,30.84,5.01,1006,438,50
Pakistan,1973-2023,941,484,427,9,21,1.133,29.68,4.82,928,444,59
Sri Lanka,1975-2023,882,393,445,5,39,0.883,31.44,4.98,872,428,35
West Indies,1973-2023,837,391,406,10,30,0.963,30.03,4.73,827,439,43
South Africa,1991-2023,643,387,230,6,20,1.682,27.56,4.84,632,434,43
England,1971-2023,772,381,352,9,30,1.082,30.75,4.87,763,399,67
New Zealand,1973-2023,800,359,391,7,43,0.918,30.19,4.83,790,408,70
Bangladesh,1986-2023,402,137,255,0,10,0.537,34.2,5.16,400,409,44
Zimbabwe,1983-2023,508,107,383,7,11,0.279,37.5,5.15,506,418,58
Afghanistan,2010-2023,116,48,64,1,3,0.75,28.3,4.87,114,417,54
Ireland,2006-2023,130,30,87,2,11,0.344,35.14,5.41,125,411,104
