Team,Span,Mat,Won,Lost,Tied,NR,W/L,Ave,RPO,Inns,HS,LS
India,2006-2023,202,127,66,4,5,1.924,30.71,8.51,199,260,74
Pakistan,2006-2023,211,121,81,3,6,1.493,23.98,7.75,206,232,74
Australia,2005-2023,176,93,76,3,4,1.223,25.95,8.4,176,263,62
South Africa,2005-2023,168,93,71,1,3,1.309,27.59,8.32,167,259,87
England,2005-2023,175,92,75,2,6,1.226,25.59,8.46,175,241,80
New Zealand,2005-2023,188,91,82,10,5,1.109,24.26,8.2,186,243,60
West Indies,2006-2023,182,75,94,3,10,0.797,22.99,7.94,178,258,45
Sri Lanka,2006-2023,171,71,94,4,2,0.755,21.09,7.61,170,215,82
Bangladesh,2006-2023,139,46,90,0,3,0.511,20.07,7.44,139,215,70
Afghanistan,2010-2023,80,44,34,1,1,1.294,21.8,7.7,80,278,72
Zimbabwe,2006-2023,96,20,75,0,1,0.266,19.37,7.23,96,205,84
Ireland,2009-2023,76,18,53,1,4,0.339,18.69,7.5,75,225,68
