Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,50s,100s,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Economy Rate,Innings Month,Innings Day,Innings Year,Innings Batting Average,Innings Bowling Average,Innings Balls Bowled,Innings Bowling Strike Rate
DN Wyatt,124,124,0,1,0,64,15,5,193.75,2,v India Women,Mumbai (BS),2018-03-25,England Women,0,1,0.0,,,,,,,,,3,25,2018,124.0,,0,
TT Beaumont,116,116,63,1,0,52,18,4,223.07,1,v SA Women,Taunton,2018-06-20,England Women,0,1,0.0,,,,,,,,,6,20,2018,116.0,,0,
HC Knight,108,108,0,1,1,66,13,4,163.63,1,v Thai Women,Canberra,2020-02-26,England Women,0,1,0.0,,,,,,,,,2,26,2020,,,0,
DN Wyatt,100,100,0,1,0,57,13,2,175.43,2,v AUS Women,Canberra,2017-11-21,England Women,0,1,0.0,,,,,,,,,11,21,2017,100.0,,0,
CM Edwards,92,92,66,1,1,59,13,1,155.93,2,v AUS Women,Hobart,2014-01-29,England Women,1,0,0.0,,,,,,,,,1,29,2014,,,0,
AE Jones,89,89,0,1,0,52,11,3,171.15,1,v PAK Women,Kuala Lumpur,2019-12-19,England Women,1,0,0.0,,,,,,,,,12,19,2019,89.0,,0,
TT Beaumont,82,82,65,1,0,53,10,2,154.71,1,v PAK Women,Bristol,2016-07-03,England Women,1,0,0.0,,,,,,,,,7,3,2016,82.0,,0,
DN Wyatt,81,81,83,1,0,55,10,0,147.27,1,v WI Women,Northampton,2019-06-21,England Women,1,0,0.0,,,,,,,,,6,21,2019,81.0,,0,
LS Greenway,80,80,71,1,1,64,11,0,125.0,2,v AUS Women,Southampton,2013-08-29,England Women,1,0,0.0,,,,,,,,,8,29,2013,,,0,
CM Edwards,80,80,70,1,0,69,11,0,115.94,1,v Bdesh Wmn,Sylhet,2014-03-28,England Women,1,0,0.0,,,,,,,,,3,28,2014,80.0,,0,
